Rank,name,domain
1,Tsinghua University,tsinghua.edu.cn
2,Peking University,pku.edu.cn
3,Zhejiang University,zju.edu.cn
4,Shanghai Jiao Tong University,sjtu.edu.cn
5,Fudan University,fudan.edu.cn
6,University of Science and Technology of China,ustc.edu.cn
7,Nanjing University,nju.edu.cn
8,Harbin Institute of Technology,hit.edu.cn
9,Xiamen University,xmu.edu.cn
10,Shandong University,sdu.edu.cn
11,Tongji University,tongji.edu.cn
12,Wuhan University,whu.edu.cn
13,Renmin University of China,ruc.edu.cn
14,Beihang University,buaa.edu.cn
15,Xi'an Jiaotong University,xjtu.edu.cn
16,Beijing Normal University,bnu.edu.cn
17,Southeast University,seu.edu.cn
18,Beijing Institute of Technology,bit.edu.cn
19,Sun Yat-Sen University,sysu.edu.cn
20,Sichuan University,scu.edu.cn
21,East China Normal University,ecnu.edu.cn
22,Hefei University of Technology,hfut.edu.cn
23,Huazhong University of Science and Technology,hust.edu.cn
24,Nankai University,nankai.edu.cn
25,Chongqing University,cqu.edu.cn
26,South China University of Technology,scut.edu.cn
27,Tianjin University,tju.edu.cn
28,Central South University,csu.edu.cn
29,University of Electronic Science and Technology of China,uestc.edu.cn
30,Lanzhou University,lzu.edu.cn
31,Northwestern Polytechnical University,nwpu.edu.cn
32,Dalian University of Technology,dlut.edu.cn
33,China University of Petroleum,upc.edu.cn
34,China Agricultural University,cau.edu.cn
35,Jilin University,jlu.edu.cn
36,Shenzhen University,szu.edu.cn
37,Central China Normal University,ccnu.edu.cn
38,Shanghai University,shu.edu.cn
39,Xidian University,xidian.edu.cn
40,South China Normal University,scnu.edu.cn
41,Beijing Jiaotong University,bjtu.edu.cn
42,Soochow University,suda.edu.cn
43,University of the Chinese Academy of Sciences,ucas.ac.cn
44,Zhengzhou University,zzu.edu.cn
45,East China University of Science and Technology,ecust.edu.cn
46,Capital Medical University,ccmu.edu.cn
47,Southwest Jiaotong University,swjtu.edu.cn
48,Beijing University of Posts and Telecommunications,bupt.edu.cn
49,Wuhan University of Technology,whut.edu.cn
50,University of Science and Technology Beijing,ustb.edu.cn
51,Zhejiang Sci-Tech University,zstu.edu.cn
52,South China Agricultural University,scau.edu.cn
53,"Northeastern University, China",neu.edu.cn
54,Hunan University,hnu.edu.cn
55,Jinan University,jnu.edu.cn
56,Ocean University of China,ouc.edu.cn
57,Beijing Foreign Studies University,bfsu.edu.cn
58,China University of Geosciences Wuhan,cug.edu.cn
59,South University of Science and Technology,sustech.edu.cn
60,Nanjing University of Aeronautics and Astronautics,nuaa.edu.cn
61,Jiujiang University,jju.edu.cn
62,Nanchang University,ncu.edu.cn
63,Nanjing Agricultural University,njau.edu.cn
64,Guilin University of Electronic Technology,guet.edu.cn
65,Donghua University,dhu.edu.cn
66,Shantou University,stu.edu.cn
67,Northwest A&F University,nwafu.edu.cn
68,Communication University of China,cuc.edu.cn
69,Huaqiao University,hqu.edu.cn
70,Southwestern University of Finance and Economics,swufe.edu.cn
71,Chang'an University,chd.edu.cn
72,Beijing University of Chemical Technology,buct.edu.cn
73,Yangzhou University,yzu.edu.cn
74,China University of Mining and Technology,cumt.edu.cn
75,Dalian University of Foreign Languages,dlufl.edu.cn
76,"Northwest University, China",nwu.edu.cn
77,Henan University,henu.edu.cn
78,Fuzhou University,fzu.edu.cn
79,China Three Gorges University,ctgu.edu.cn
80,Jingchu University of Technology,jcut.edu.cn
81,Shanghai International Studies University,shisu.edu.cn
82,Shandong Normal University,sdnu.edu.cn
83,Dalian Maritime University,dlmu.edu.cn
84,Hunan Normal University,hunnu.edu.cn
85,Southwest University,swu.edu.cn
86,Zhejiang Normal University,zjnu.edu.cn
87,Shanghai University of Finance and Economics,sufe.edu.cn
88,Anhui University,ahu.edu.cn
89,Beijing Language and Culture University,blcu.edu.cn
90,Hainan University,hainanu.edu.cn
91,Yanshan University,ysu.edu.cn
92,Jiangsu University,ujs.edu.cn
93,Shaanxi Normal University,snnu.edu.cn
94,Tianjin University of Technology,tjut.edu.cn
95,Huazhong Agricultural University,hzau.edu.cn
96,Harbin Engineering University,hrbeu.edu.cn
97,Hohai University,hhu.edu.cn
98,Changchun University,ccu.edu.cn
99,China Europe International Business School,ceibs.edu
100,University of Shanghai for Science and Technology,usst.edu.cn
101,Zhejiang University of Technology,zjut.edu.cn
102,Qingdao University,qdu.edu.cn
103,Nanjing University of Posts and Telecommunications,njupt.edu.cn
104,Putian University,ptu.edu.cn
105,Guangdong University of Foreign Studies,gdufs.edu.cn
106,Chongqing University of Posts and Telecommunications,cqupt.edu.cn
107,University of International Business and Economics,uibe.edu.cn
108,Jiangxi University of Finance and Economics,jxufe.edu.cn
109,China Academy of Art,caa.edu.cn
110,Xi'an Jiaotong-Liverpool University,xjtlu.edu.cn
111,Shanghai Tech University,shanghaitech.edu.cn
112,Guangdong University of Technology,gdut.edu.cn
113,Tianjin University of Science and Technology,tust.edu.cn
114,Nanjing Medical University,njmu.edu.cn
115,Nanjing University of Science and Technology,njust.edu.cn
116,Jiangnan University,jiangnan.edu.cn
117,Guangxi University,gxu.edu.cn
118,Nanjing Forestry University,njfu.edu.cn
119,Northeast Normal University,nenu.edu.cn
120,Fujian Normal University,fjnu.edu.cn
121,Beijing Forestry University,bjfu.edu.cn
122,Central University of Finance and Economics,cufe.edu.cn
123,Anhui Normal University,ahnu.edu.cn
124,Anhui University of Finance and Economics,aufe.edu.cn
125,Lanzhou University of Technology,lut.edu.cn
126,Shanghai University of Engineering Science,sues.edu.cn
127,Shaoxing University,usx.edu.cn
128,Guangzhou University,gzhu.edu.cn
129,Dalian University,dlu.edu.cn
130,Jiaxing University,zjxu.edu.cn
131,North China Electric Power University,ncepu.edu.cn
132,Agricultural University of Hebei,hebau.edu.cn
133,Shenyang Institute of Engineering,sie.edu.cn
134,Wuhan University of Science and Technology,wust.edu.cn
135,Shandong University of Technology,sdut.edu.cn
136,Chengdu University of Information Technology,cuit.edu.cn
137,Guangxi Normal University,gxnu.edu.cn
138,China University of Geosciences Beijing,cugb.edu.cn
139,China University of Political Science and Law,cupl.edu.cn
140,Shenyang Ligong University,sylu.edu.cn
141,Northeast Forestry University,nefu.edu.cn
142,Taiyuan University of Technology,tyut.edu.cn
143,Guizhou University,gzu.edu.cn
144,Nanjing University of Information Science and Technology,nuist.edu.cn
145,Yunnan University,ynu.edu.cn
146,Beijing University of Technology,bjut.edu.cn
147,Hubei University,hubu.edu.cn
148,Nanjing Normal University,njnu.edu.cn
149,Yangtze University,yangtzeu.edu.cn
150,Hubei University of Technology,hbut.edu.cn
151,Kunming University of Science and Technology,kmust.edu.cn
152,TaiZhou University,tzc.edu.cn
153,China Pharmaceutical University,cpu.edu.cn
154,Yunnan Agricultural University,ynau.edu.cn
155,Shanxi University,sxu.edu.cn
156,Dongguan University of Technology,dgut.edu.cn
157,Shandong University of Science and Technology,sdust.edu.cn
158,Hebei University of Technology,hebut.edu.cn
159,Ningxia University,nxu.edu.cn
160,Zhongnan University of Economics and Law,zuel.edu.cn
161,University of Jinan,ujn.edu.cn
162,Hebei Normal University,hebtu.edu.cn
163,"The University of Nottingham Ningbo, China",nottingham.edu.cn
164,Beijing University of Chinese Medicine,bucm.edu.cn
165,"The Chinese University of Hong Kong, Shenzhen",cuhk.edu.cn
166,Fujian Medical University,fjmu.edu.cn
167,China University of Petroleum,cup.edu.cn
168,Jiangxi Normal University,jxnu.edu.cn
169,Liaoning University,lnu.edu.cn
170,Ningbo University,nbu.edu.cn
171,Qingdao University of Science and Technology,qust.edu.cn
172,Nanjing Tech University,njtech.edu.cn
173,Sichuan Agricultural University,sicau.edu.cn
174,Nantong University,ntu.edu.cn
175,Wenzhou University,wzu.edu.cn
176,Hubei University of Automotive Technology,huat.edu.cn
177,Northwest Normal University,nwnu.edu.cn
178,Beijing International Studies University,bisu.edu.cn
179,XiangTan University,xtu.edu.cn
180,Southern Medical University,smu.edu.cn
181,National University of Defense Technology,nudt.edu.cn
182,Tianjin Foreign Studies University,tjfsu.edu.cn
183,Qilu University of Technology,qlu.edu.cn
184,Shanghai Ocean University,shou.edu.cn
185,Hangzhou Dianzi University,hdu.edu.cn
186,Sichuan University of Science and Engineering,suse.edu.cn
187,Changsha University of Science and Technology,csust.edu.cn
188,Shanghai Lixin University of Accounting and Finance,lixin.edu.cn
189,Guangdong Ocean University,gdou.edu.cn
190,Capital Normal University,cnu.edu.cn
191,Inner Mongolia University,imu.edu.cn
192,Xiamen University of Technology,xmut.edu.cn
193,Hunan Institute of Science and Technology,hnist.cn
194,Chengdu University of Technology,cdut.edu.cn
195,Gansu Agricultural University,gsau.edu.cn
196,Tianjin Normal University,tjnu.edu.cn
197,Zhejiang University of Finance and Economics,zufe.edu.cn
198,Central Conservatory of Music,ccom.edu.cn
199,Shanghai Normal University,shnu.edu.cn
200,Hunan Agricultural University,hunau.edu.cn
201,Anhui Medical University,ahmu.edu.cn
202,Harbin Normal University,hrbnu.edu.cn
203,Tianjin University of Traditional Chinese Medicine,tjutcm.edu.cn
204,Sichuan Fine Arts Institute,scfai.edu.cn
205,Chongqing Medical University,cqmu.edu.cn
206,Anhui Agricultural University,ahau.edu.cn
207,Southwest University of Political Science and Law,swupl.edu.cn
208,Hefei University,hfuu.edu.cn
209,Guangdong University of Finance and Economics,gdufe.edu.cn
210,Shihezi University,shzu.edu.cn
211,Capital University of Economics and Business,cueb.edu.cn
212,Henan Polytechnic University,hpu.edu.cn
213,Changchun University of Science and Technology,cust.edu.cn
214,Anhui Jianzhu University,ahjzu.edu.cn
215,Yunnan Normal University,ynnu.edu.cn
216,Anhui University of Science and Technology,aust.edu.cn
217,Jiaying University,jyu.edu.cn
218,Quzhou University,qzc.edu.cn
219,Chongqing Normal University,cqnu.edu.cn
220,Civil Aviation University of China,cauc.edu.cn
221,Yuxi Normal University,yxnu.edu.cn
222,Guizhou Normal University,gznu.edu.cn
223,Zhejiang Shuren University,zjsru.edu.cn
224,Shijiazhuang Tiedao University,stdu.edu.cn
225,Shanghai Maritime University,shmtu.edu.cn
226,University of South China,usc.edu.cn
227,Xi'an International University,xaiu.edu.cn
228,Fujian Agriculture and Forestry University,fafu.edu.cn
229,Jiangsu Normal University,jsnu.edu.cn
230,Qufu Normal University,qfnu.edu.cn
231,East China University of Political Science and Law,ecupl.edu.cn
232,China Medical University,cmu.edu.cn
233,Guangdong Medical University,gdmu.edu.cn
234,Anhui University of Technology,ahut.edu.cn
235,Northeast Agricultural University,neau.edu.cn
236,Yunnan Minzu University,ynni.edu.cn
237,Leshan Normal University,lsnu.edu.cn
238,South-Central University for Nationalities,scuec.edu.cn
239,Beijing University of Civil Engineering and Architecture,bucea.edu.cn
240,Dali University,dali.edu.cn
241,China Jiliang University,cjlu.edu.cn
242,Zhejiang Forestry University,zafu.edu.cn
243,Henan Normal University,htu.edu.cn
244,Suzhou University of Science and Technology,usts.edu.cn
245,Zhejiang Gongshang University,zjgsu.edu.cn
246,Foshan University,fosu.edu.cn
247,Yantai University,ytu.edu.cn
248,Harbin Medical University,hrbmu.edu.cn
249,Xi'an University,xawl.edu.cn
250,Sichuan International Studies University,sisu.edu.cn
251,Zhongyuan University of Technology,zut.edu.cn
252,Nanjing Audit University,nau.edu.cn
