Rank,University
1,Tsinghua University
2,Peking University
3,Zhejiang University
4,Shanghai Jiao Tong University
5,Fudan University
6,University of Science and Technology of China
7,Nanjing University
8,Harbin Institute of Technology
9,Xiamen University
10,Shandong University
11,Tongji University
12,Wuhan University
13,Renmin University of China
14,Beihang University
15,Xi'an Jiaotong University
16,Beijing Normal University
17,Southeast University
18,Beijing Institute of Technology
19,Sun Yat-Sen University
20,Sichuan University
21,East China Normal University
22,Hefei University of Technology
23,Huazhong University of Science and Technology
24,Nankai University
25,Chongqing University
26,South China University of Technology
27,Tianjin University
28,Central South University
29,University of Electronic Science and Technology of China
30,Lanzhou University
31,Northwestern Polytechnical University
32,Dalian University of Technology
33,China University of Petroleum
34,China Agricultural University
35,Jilin University
36,Shenzhen University
37,Central China Normal University
38,Shanghai University
39,Xidian University
40,South China Normal University
41,Beijing Jiaotong University
42,Soochow University
43,University of the Chinese Academy of Sciences
44,Zhengzhou University
45,East China University of Science and Technology
46,Capital Medical University
47,Southwest Jiaotong University
48,Beijing University of Posts and Telecommunications
49,Wuhan University of Technology
50,University of Science and Technology Beijing
51,Zhejiang Sci-Tech University
52,South China Agricultural University
53,"Northeastern University, China"
54,Hunan University
55,Jinan University
56,Ocean University of China
57,Beijing Foreign Studies University
58,China University of Geosciences Wuhan
59,South University of Science and Technology
60,Nanjing University of Aeronautics and Astronautics
61,Jiujiang University
62,Nanchang University
63,Nanjing Agricultural University
64,Guilin University of Electronic Technology
65,Donghua University
66,Shantou University
67,Northwest A&F University
68,Communication University of China
69,Huaqiao University
70,Southwestern University of Finance and Economics
71,Chang'an University
72,Beijing University of Chemical Technology
73,Yangzhou University
74,China University of Mining and Technology
75,Dalian University of Foreign Languages
76,"Northwest University, China"
77,Henan University
78,Fuzhou University
79,China Three Gorges University
80,Jingchu University of Technology
81,Shanghai International Studies University
82,Shandong Normal University
83,Dalian Maritime University
84,Hunan Normal University
85,Southwest University
86,Zhejiang Normal University
87,Shanghai University of Finance and Economics
88,Anhui University
89,Beijing Language and Culture University
90,Hainan University
91,Yanshan University
92,Jiangsu University
93,Shaanxi Normal University
94,Tianjin University of Technology
95,Huazhong Agricultural University
96,Harbin Engineering University
97,Hohai University
98,Changchun University
99,China Europe International Business School
100,University of Shanghai for Science and Technology
101,Zhejiang University of Technology
102,Qingdao University
103,Nanjing University of Posts and Telecommunications
104,Putian University
105,Guangdong University of Foreign Studies
106,Chongqing University of Posts and Telecommunications
107,University of International Business and Economics
108,Jiangxi University of Finance and Economics
109,China Academy of Art
110,Xi'an Jiaotong-Liverpool University
111,Shanghai Tech University
112,Guangdong University of Technology
113,Tianjin University of Science and Technology
114,Nanjing Medical University
115,Nanjing University of Science and Technology
116,Jiangnan University
117,Guangxi University
118,Nanjing Forestry University
119,Northeast Normal University
